Ligand	Mode of Action	Signaling	Functional classification	Functional.sub.classification	Gene.Family
RAET1F	Cell-Cell Contact	Immune	Immune regulators	Stimulatory Molecules	RAET1 Family
SAA1	Secreted Signaling	Immune	Immune regulators	Acute Phase Response Modulator	Serum Amyloid A1 Family
ANXA1	Secreted Signaling	Immune	Immune regulators	Anti-inflammatory Modulator	Annexin Family
KNG1	Secreted Signaling	Immune	Immune regulators	Kininogen Precursor	Kininogen Family
BAG6	Secreted Signaling	Immune	Immune regulators	Protein Homeostasis Modulator	BCL2 Associated Athanogene 6 Family
IGF1	Secreted Signaling	Growth Factors & Cytokines	Insulin-like GFs	Insulin-like Growth Factors	Insulin-like growth factor
IGFL3	Secreted Signaling	Growth Factors & Cytokines	Insulin-like GFs	Insulin-like Growth Factors	Insulin-like growth factor
ITGA4_ITGB1	Cell-Cell Contact	CAM	Integrins	Integrins	Integrin Family
ITGA9_ITGB1	Cell-Cell Contact	CAM	Integrins	Integrins	Integrin Family
ITGA4_ITGB7	Cell-Cell Contact	CAM	Integrins	Integrins	Integrin Family
ITGB2	Cell-Cell Contact	CAM	Integrins	Integrins	Integrin Family
ICAM1	Cell-Cell Contact	CAM	Intercellular Adhesion	Intercellular Adhesion Proteins	Ig Superfamily
ICAM2	Cell-Cell Contact	CAM	Intercellular Adhesion	Intercellular Adhesion Proteins	Ig Superfamily
ICAM5	Cell-Cell Contact	CAM	Intercellular Adhesion	Intercellular Adhesion Proteins	Ig Superfamily
IFNA1	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA10	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA13	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA14	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA16	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA17	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA2	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA21	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA4	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA5	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA6	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA7	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
IFNA8	Secreted Signaling	Growth Factors & Cytokines	Interferons	Interferons	Type I Interferons
